id,left,top,right,bottom,row_index,col_index,id_2,distance,angle,x,y,start_point
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","60","270.000000000000","380040.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","70","270.000000000000","380030.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","80","270.000000000000","380020.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","90","270.000000000000","380010.000000000","2044895.000",0
"3","380100.0000","2044895.0000","380000.0000","2044895.0000","1","0","3","100","270.000000000000","380000.000000000","2044895.000",0
"4","380000.0000","2044895.0000","380000.0000","2044890.0000","1","1","4","0","180.000000000000","380000.000000000","2044895.000",0
"4","380000.0000","2044895.0000","380000.0000","2044890.0000","1","1","4","5","180.000000000000","380000.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","0","90.000000000000","380000.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","10","90.000000000000","380010.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","20","90.000000000000","380020.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","30","90.000000000000","380030.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","40","90.000000000000","380040.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","50","90.000000000000","380050.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","60","90.000000000000","380060.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","70","90.000000000000","380070.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","80","90.000000000000","380080.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","90","90.000000000000","380090.000000000","2044890.000",0
"5","380000.0000","2044890.0000","380100.0000","2044890.0000","2","0","5","100","90.000000000000","380100.000000000","2044890.000",0
"6","380100.0000","2044890.0000","380100.0000","2044885.0000","2","1","6","0","180.000000000000","380100.000000000","2044890.000",0
"6","380100.0000","2044890.0000","380100.0000","2044885.0000","2","1","6","5","180.000000000000","380100.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","0","270.000000000000","380100.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","10","270.000000000000","380090.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","20","270.000000000000","380080.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","30","270.000000000000","380070.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","40","270.000000000000","380060.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","50","270.000000000000","380050.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","60","270.000000000000","380040.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","70","270.000000000000","380030.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","80","270.000000000000","380020.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","90","270.000000000000","380010.000000000","2044885.000",0
"7","380100.0000","2044885.0000","380000.0000","2044885.0000","3","0","7","100","270.000000000000","380000.000000000","2044885.000",0
"8","380000.0000","2044885.0000","380000.0000","2044880.0000","3","1","8","0","180.000000000000","380000.000000000","2044885.000",0
"8","380000.0000","2044885.0000","380000.0000","2044880.0000","3","1","8","5","180.000000000000","380000.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","0","90.000000000000","380000.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","10","90.000000000000","380010.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","20","90.000000000000","380020.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","30","90.000000000000","380030.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","40","90.000000000000","380040.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","50","90.000000000000","380050.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","60","90.000000000000","380060.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","70","90.000000000000","380070.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","80","90.000000000000","380080.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","90","90.000000000000","380090.000000000","2044880.000",0
"9","380000.0000","2044880.0000","380100.0000","2044880.0000","4","0","9","100","90.000000000000","380100.000000000","2044880.000",0

